customer_id,customer_name,customer_email,customer_phone,customer_segment,customer_type
CUST1072,Heather Parrish,mary65@hotmail.com,(996)733-1167x72696,Youth,New
CUST1073,Mr. Larry Shaw,brandon89@turner.com,8437685507,Senior,VIP
CUST1074,Christopher Jones,natalie39@bernard.com,967.935.2196x26335,Adult,VIP
CUST1075,Christine Lopez,qnelson@yahoo.com,(643)436-9709x317,Adult,VIP
CUST1076,Mitchell Wilson,stevegreene@gmail.com,001-069-556-0767x616,Youth,Returning
CUST1077,Robert Cortez,lynchadam@chambers.net,534-547-2239x898,Senior,New
CUST1078,Mr. Daniel Martin,ymedina@hotmail.com,065.031.2198,Senior,New
CUST1079,Alison Williams,staffordlisa@chambers-gomez.biz,4184724264,Adult,VIP
CUST1080,Candace Soto,xthompson@hotmail.com,(364)281-3190,Youth,Returning
CUST1081,Kenneth Brown,fordsharon@smith-paul.com,001-248-762-3039,Youth,Returning
CUST1082,Christopher Mullen,christopheraustin@yahoo.com,001-111-428-1785x228,Adult,New
CUST1083,Kristy Smith,tinacoffey@campbell.org,(305)248-0880,Senior,Returning
CUST1084,Mary Campbell,gonzalezlori@rodriguez-ramirez.net,(220)722-3959x4737,Senior,Returning
CUST1085,Jerry Haney,andreakeller@hotmail.com,(132)901-6204,Youth,New
CUST1086,Carolyn Greer,chapmanjulie@green.com,876.886.8785x996,Senior,VIP
CUST1087,Rebecca Hoover,melaniejohnson@hotmail.com,001-486-287-2031x95419,Adult,Returning
CUST1088,Matthew Baker,bsmith@hotmail.com,(664)505-7303x62792,Youth,Returning
CUST1089,Grace Chavez,ryan64@frazier.info,+1-463-203-7476x7753,Youth,VIP
CUST1090,Crystal Cruz,stephensonjeffrey@yahoo.com,260.321.4505x766,Adult,New
CUST1091,Dale Heath,zstewart@gmail.com,945-887-0715,Senior,VIP
CUST1092,Jennifer Hernandez,beardlindsey@hotmail.com,348-201-2840x08385,Youth,VIP
CUST1093,John Mendez,prosario@martin.com,7659759545,Youth,Returning
CUST1094,Richard Gordon,castillolindsey@robles.com,8917768089,Senior,Returning
CUST1095,John Anderson,vallen@underwood.com,126.574.2231x96463,Youth,New
CUST1096,Samantha Prince,oduran@riley-miller.com,0402369362,Senior,VIP
CUST1097,Marie Boyd,sedwards@patton.info,(894)301-2047x13727,Senior,New
CUST1098,Andrew Moreno,cheryl61@byrd.com,175-957-4988,Adult,New
CUST1099,Robert Clarke,nmorales@yahoo.com,001-558-298-4933x0674,Senior,VIP
CUST1100,Kevin Figueroa,chavezsteven@hobbs-harvey.com,847-609-4412x83337,Adult,VIP
CUST1101,Melissa Davis,lholmes@rodriguez.org,(188)566-6954,Adult,VIP
CUST1102,John Hall,rebeccamartinez@scott.info,329-715-0666,Youth,Returning
CUST1103,Diane Mcdowell,devinwilliams@collins.net,(670)551-4377,Adult,New
CUST1104,Colin Fletcher,brandy82@gmail.com,(936)634-3925x2959,Adult,VIP
CUST1105,Laura Wilson,carrie45@gmail.com,(111)102-8671x2007,Senior,Returning
CUST1106,Matthew Watts,younglori@trevino.com,(024)559-1024,Senior,VIP
CUST1107,Jack Moore,petersonelizabeth@holt.org,109-109-0326x71494,Youth,Returning
CUST1108,Dawn Wyatt,robert21@yahoo.com,+1-819-421-7942x817,Senior,Returning
CUST1109,Jacob Hill,arobinson@walker.com,+1-340-652-7758x446,Senior,New
CUST1110,Nicole Gutierrez,lindsay63@yahoo.com,(345)337-2201x09121,Senior,VIP
CUST1111,Karen Wood,coxcharles@spencer.com,221.455.9376x618,Senior,New
CUST1112,Dawn Parker,crystaldurham@yahoo.com,001-943-705-2635x1004,Senior,Returning
CUST1113,Michael Fitzgerald,gonzalezjustin@mcclure.com,(277)657-2565x9202,Youth,VIP
CUST1114,Mary Adkins,gregorysmith@yahoo.com,617-520-2389x743,Adult,VIP
CUST1115,Michael Martin,deckerderrick@cobb.com,001-260-055-9550x1783,Adult,Returning
CUST1116,James Morgan,mikewatson@gmail.com,258.486.8999,Senior,Returning
CUST1117,Melissa Mann,wilsonnicole@gmail.com,607.984.8704,Youth,VIP
CUST1118,Vincent Smith,amandabenson@greene-rowland.com,069-176-7993x59374,Adult,VIP
CUST1119,Charles Frost,melissaphillips@murphy.com,039-464-0830x3736,Adult,Returning
CUST1120,Austin Walker,fclark@gibbs-mendez.com,6014886084,Senior,Returning
CUST1121,Andrew Cruz,victor72@yahoo.com,001-907-938-8413x68528,Youth,VIP
CUST1122,Miss Kelly Dawson,fbaldwin@yahoo.com,+1-306-153-7012x4244,Adult,Returning
CUST1123,Theresa Wilkins,ylittle@hotmail.com,(263)251-4488x11210,Adult,Returning
CUST1124,Jessica Harris,jeffreyharris@foster.biz,142.175.1887,Senior,New
CUST1125,Regina Mitchell,selenabrooks@hotmail.com,179.415.1526x38409,Senior,New
CUST1126,Kyle Black,karenphillips@bell.org,001-112-252-8837x50566,Senior,New
CUST1127,Christopher Johnson,bhayes@yahoo.com,863-239-7913,Senior,VIP
CUST1128,Aaron Moore,ystewart@gmail.com,+1-787-655-3007x30950,Adult,Returning
CUST1129,Penny Gomez MD,phall@howard.com,+1-556-057-1219x88192,Adult,New
CUST1130,Kelly Mclaughlin,sara11@ward.com,788.519.0534x8640,Youth,VIP
CUST1131,Brandon Mitchell,emilywright@hotmail.com,042-462-4561,Youth,Returning
CUST1132,Suzanne Bailey,janicebolton@hotmail.com,517.446.0045x21289,Youth,New
CUST1133,Destiny Obrien,carrillojuan@yahoo.com,+1-151-145-5129x391,Adult,VIP
CUST1134,Timothy Andrews,wunderwood@hotmail.com,044.881.8984,Senior,Returning
CUST1135,Jason Rodriguez,wvaldez@grimes.com,+1-416-046-1540,Youth,VIP
CUST1136,Edward Arroyo,lhall@todd.com,(119)017-0756,Senior,Returning
CUST1137,Tina Walter,roymcmahon@yahoo.com,+1-142-983-1522,Youth,New
CUST1138,Laura Benson,jcole@brooks.com,+1-910-732-2836x0849,Adult,VIP
CUST1139,Kristine Carrillo,porterdonna@yahoo.com,001-378-306-3963x8452,Adult,Returning
CUST1140,Tonya Ellis,robertjennings@yahoo.com,(969)443-9164x9701,Senior,VIP
CUST1141,Kevin Johnson,brenda90@gmail.com,(934)292-9132x0330,Adult,VIP
CUST1142,Austin Schultz,ashley99@camacho.biz,001-162-341-9031x0615,Youth,VIP
CUST1143,Megan Hall MD,glopez@hudson-hayes.com,722.155.6684,Youth,Returning
CUST1144,Kelli Smith,damontran@serrano.info,323.653.3774x604,Adult,VIP
CUST1145,Danielle Davis,jamespruitt@campbell-hall.net,6720078436,Youth,VIP
CUST1146,Samantha Jones,hbrown@jackson.biz,424-426-0781,Adult,VIP
CUST1147,Karen Gomez,andersonrobert@jones.com,001-754-373-4764,Youth,Returning
CUST1148,Debra Valentine,ryan72@andrews.info,(737)203-7638,Adult,New
CUST1149,Susan Porter,adrianthomas@gmail.com,214.584.1484x60191,Senior,VIP
CUST1150,Nicolas Salas,aliciakent@yahoo.com,443.899.8278,Senior,New
CUST1151,Dale Wright,vjohnston@gmail.com,2058695073,Youth,VIP
CUST1152,Brittney Rodriguez,treed@yahoo.com,(146)449-3699,Adult,VIP
CUST1153,Megan Alvarado,robertwhite@hotmail.com,001-516-793-3505,Senior,New
CUST1154,Pamela Weaver,qcruz@gmail.com,(738)573-6801x192,Adult,VIP
CUST1155,John Oliver,chale@mcclure.com,603.768.1187,Youth,New
CUST1156,William Prince PhD,wolfejennifer@gmail.com,001-233-351-0409x614,Adult,New
CUST1157,William Moon IV,jriddle@gmail.com,+1-973-153-9114x9830,Adult,New
CUST1158,Kenneth Brown,camposwilliam@yahoo.com,482.073.6511x8939,Adult,Returning
CUST1159,Karen Fernandez,nmartin@hotmail.com,065-578-2019x043,Senior,VIP
CUST1160,Jennifer Parks,ojohnson@lowe.biz,(230)233-3247,Adult,VIP
CUST1161,William Wolfe,qjohnson@fletcher.com,7392013546,Adult,VIP
CUST1162,Michael Smith,fmurray@hotmail.com,(127)602-5082,Adult,VIP
CUST1163,Kevin Nguyen,rtaylor@jackson.org,+1-611-231-2616x32488,Senior,Returning
CUST1164,Debbie Dunn,kellynichols@jackson-powers.com,+1-899-572-9893x76297,Adult,Returning
CUST1165,John Austin,scottthompson@hotmail.com,549-303-6468x719,Senior,VIP
CUST1166,Jonathan Clark,scottwilliams@cain.com,203-818-7692,Adult,VIP
CUST1167,Jacqueline Dickerson,scott90@gmail.com,8283230898,Senior,New
CUST1168,Christopher Anderson,sarahbrooks@gmail.com,388-158-8144,Youth,Returning
CUST1169,Crystal Garcia,smithanthony@rogers.com,822-067-3231x82971,Youth,VIP
CUST1170,David Reynolds,roblesmaria@ramsey.biz,(815)724-5000x00015,Youth,Returning
CUST1171,Charles Haley,marcus39@villa.biz,(911)371-7850,Senior,Returning
CUST1172,Robert Thompson,jasonkelly@smith.com,+1-902-556-1844x4218,Adult,VIP
CUST1173,Dr. Samuel Holmes DDS,olewis@barrett.org,(998)747-8122,Youth,VIP
CUST1174,Elizabeth Hart,jonesjeffery@yahoo.com,001-489-056-7086x70090,Youth,New
CUST1175,Jennifer Vaughn,marquezkylie@hotmail.com,4365515848,Adult,Returning
CUST1176,Robert Woods,susan95@horton.com,(669)136-2483,Senior,VIP
CUST1177,Joanna Cook,cynthiahenson@yahoo.com,505-429-6080x70633,Adult,VIP
CUST1178,Justin Frederick,rogerscharlotte@hotmail.com,(998)795-0982x21040,Senior,Returning
CUST1179,Alejandro Martinez,vdixon@gmail.com,648-188-0442,Adult,VIP
CUST1180,Tracey Gonzalez,andrewblake@parker.biz,+1-773-836-3816,Adult,New
CUST1181,Mariah Thompson,brownnicholas@harris-bennett.com,321-269-4289x464,Senior,New
CUST1182,Heather Nunez,vstevenson@ramirez.com,(036)258-6314,Youth,VIP
CUST1183,Dr. Steve James,karen35@yahoo.com,001-417-064-6255x40263,Senior,New
CUST1184,Mark Thomas,amberknox@mcneil.com,001-558-243-0176x4644,Senior,New
CUST1185,Robert Rogers,isaiah01@yahoo.com,988.031.5388x82452,Adult,VIP
CUST1186,Laura Sweeney,brettbraun@martinez.org,905.040.4333x353,Adult,Returning
CUST1187,Christopher Perez,williamsimmons@collins-griffith.com,495.163.2111x97871,Senior,New
CUST1188,Eddie Adams,catherineturner@hotmail.com,+1-093-391-3732,Adult,Returning
CUST1189,Denise Wallace,josephharrington@gmail.com,(530)601-1987x5617,Senior,Returning
CUST1190,Heidi Matthews,egray@yahoo.com,688.002.3009x15618,Adult,New
CUST1191,Jennifer White,ywolf@yahoo.com,(980)365-7744,Youth,VIP
CUST1192,Nicholas Stanley,fsimmons@larson-hernandez.com,+1-160-936-5952x014,Senior,Returning
CUST1193,Mercedes Miller,dford@yahoo.com,+1-118-941-8433x687,Senior,Returning
CUST1194,Brian Brown,ijones@hotmail.com,092-632-2399x82137,Youth,Returning
CUST1195,Kimberly Johnson,ericlopez@gmail.com,556-114-0428x860,Youth,VIP
CUST1196,Phillip Miller,asullivan@yahoo.com,(053)766-6081x126,Senior,Returning
CUST1197,Christopher Pena,pburns@hotmail.com,001-003-083-5669x10627,Adult,Returning
CUST1198,Ellen Wright,hdyer@frederick-martin.biz,531-234-5506,Adult,New
CUST1199,Mark Anderson,william75@hotmail.com,826.917.7682x93844,Adult,Returning
CUST1200,Alyssa Alvarado,vhouse@allen.com,001-013-480-8735x4378,Senior,Returning
CUST1201,Erika Alvarez,josegibson@hernandez.com,001-826-033-5910x1570,Youth,New
CUST1202,Kimberly Nelson,wisedawn@sanders-willis.com,+1-085-991-4492x074,Youth,Returning
CUST1203,Wayne Wolfe,bmartin@holt-mason.net,001-269-996-9964,Youth,Returning
CUST1204,Kyle Welch,jessica11@hotmail.com,+1-997-184-2859,Senior,VIP
CUST1205,Kristy Mills,josephclark@hotmail.com,(932)591-4084x9932,Adult,VIP
CUST1206,Emily Reed,adam27@gmail.com,123.426.6980,Youth,Returning
CUST1207,Regina Ramos,ayalarobert@pena-quinn.com,(908)726-1760x72348,Senior,New
CUST1208,David Torres,jacob23@white-fry.info,001-389-359-5382x8040,Youth,New
CUST1209,Robert Charles,jamesbrady@green.info,(612)996-5082x695,Adult,VIP
CUST1210,John Smith,christophermiller@hill.com,+1-264-186-9656,Adult,VIP
CUST1211,Theresa Woods,wwashington@smith.com,+1-130-876-1238x5951,Senior,VIP
CUST1212,Jeffrey Carter,clarklatoya@morrison-hatfield.com,346-823-9484x002,Senior,Returning
CUST1213,Adam Brooks,msherman@yahoo.com,300.869.6610x1683,Senior,VIP
CUST1214,Justin Foster,evelyn55@gmail.com,139-500-1680,Senior,Returning
CUST1215,Omar Price,dgray@yahoo.com,+1-414-915-0762x839,Adult,Returning
CUST1216,Dennis Henderson,smithmonica@yahoo.com,620.534.4077x794,Adult,New
CUST1217,Phillip Kent,guzmanmisty@tapia-walton.com,(207)266-2925x0817,Senior,Returning
CUST1218,Melinda Mitchell,qmontgomery@yahoo.com,001-760-299-1406x8841,Youth,New
CUST1219,Rhonda Gutierrez,aaronlittle@yahoo.com,337.312.5523,Adult,Returning
CUST1220,Catherine Roberts,morgan57@lawson.org,(617)817-0321x192,Senior,Returning
CUST1221,Lisa Nelson,ronnie71@cruz.net,6136385277,Youth,VIP
CUST1222,Chelsea Smith,tylermiller@davies.info,+1-956-133-7184,Senior,VIP
CUST1223,Joseph Lopez,pbates@lewis.com,490-295-0264x8016,Senior,VIP
CUST1224,Derrick Espinoza,bholder@hickman.biz,403-734-1678x127,Adult,New
CUST1225,Crystal Hernandez,jenniferwade@hotmail.com,001-782-210-2179x8213,Senior,Returning
CUST1226,Glenn Collins DDS,sandraschultz@davis-holt.com,862-985-7973x638,Adult,Returning
CUST1227,Mrs. Raven Rivera DVM,nicholas68@stokes-walker.com,182.856.0539,Adult,New
CUST1228,Amy Rowe,rodriguezmatthew@hotmail.com,001-707-986-6177x06736,Adult,VIP
CUST1229,John Lee,berrydavid@finley-ray.com,205.068.2122x35521,Senior,New
CUST1230,Ruth Clayton,lawrencejames@yahoo.com,(505)871-4692x1821,Youth,VIP
CUST1231,Randy Wright,kelsey28@hotmail.com,001-259-679-0898,Senior,Returning
CUST1232,Jessica Rojas,fosteramanda@stewart-cabrera.com,001-436-998-4802x20509,Adult,Returning
CUST1233,Joel Wise,jfrazier@campbell.com,001-386-948-4249x598,Youth,VIP
CUST1234,Vickie Kennedy,wayne14@hotmail.com,+1-114-578-8707,Adult,Returning
CUST1235,Emily Morris,troypadilla@yahoo.com,523-867-6738,Adult,VIP
CUST1236,Amanda Pineda,eric33@fitzgerald.info,001-209-746-1917x79876,Youth,New
CUST1237,Dawn Little,tracey20@hotmail.com,+1-299-687-2258,Senior,Returning
CUST1238,Stephen Boyer,roberto75@yahoo.com,001-370-858-0623,Youth,New
CUST1239,Brian Chen,rosejustin@hotmail.com,(040)566-9579x001,Adult,Returning
CUST1240,Christopher Hill,udavis@glenn.com,(482)554-4286,Youth,VIP
CUST1241,Richard Smith,barbararamos@yahoo.com,963.259.4232x894,Adult,Returning
CUST1242,Richard Alvarez,jasonbrock@gmail.com,(338)915-6241x5285,Youth,Returning
CUST1243,Jacqueline Davis,jessica91@floyd.biz,001-725-629-2693x3589,Youth,Returning
CUST1244,Brandon Montgomery,davisterri@landry.net,+1-513-818-6550x78468,Youth,Returning
CUST1245,Yolanda Garrett,obooker@hotmail.com,095-744-3034x91891,Adult,Returning
CUST1246,Matthew Miles,austinallen@yahoo.com,797-203-8593,Senior,New
CUST1247,Beth Hall,denisebennett@hotmail.com,015-364-1547x155,Senior,New
CUST1248,Dr. Nicole Trujillo,phancock@hill-delgado.com,132.593.6781,Youth,Returning
CUST1249,Corey Norris,wilsondavid@barnett.org,675.009.4214,Senior,New
CUST1250,Chad Roach,heather19@gmail.com,001-105-276-9819x87809,Youth,New
CUST1251,Mr. Edward Terry,scooke@yahoo.com,001-270-452-3888x5622,Adult,New
CUST1252,Cody Bailey,corybrown@hotmail.com,866-059-8678x74422,Adult,VIP
CUST1253,Denise Guerra,bhess@hawkins-herrera.net,585.485.9655x9428,Adult,Returning
CUST1254,Kristen Jones,stonebrenda@hotmail.com,(491)165-0200,Senior,VIP
CUST1255,Edward Baker,tammymerritt@atkins.com,2453931321,Senior,VIP
CUST1256,Aaron Little,hmcbride@anderson.com,513-055-7083x68214,Youth,VIP
CUST1257,Cody Smith,melissa01@hunter.net,488-966-9972x7367,Senior,VIP
CUST1258,Patty Allen,qrowland@wright.net,+1-746-202-5825x4318,Senior,Returning
CUST1259,Mary Ryan,ftaylor@hotmail.com,281.231.2392,Youth,VIP
CUST1260,Joseph Jimenez,catherine83@hotmail.com,+1-049-106-0183x6472,Senior,VIP
CUST1261,Lisa Morris,youngjacob@chase-lewis.com,875.082.7681,Youth,New
CUST1262,Ashley Mills,joshua96@pierce.biz,+1-722-577-5458x47262,Adult,Returning
CUST1263,Russell Anderson,qbryant@coleman.com,001-052-918-7683,Senior,VIP
CUST1264,Christina Washington,jenniferelliott@hotmail.com,001-160-827-1721x7337,Youth,VIP
CUST1265,Kenneth Huff,uunderwood@gray-maynard.com,001-399-205-2229x993,Adult,New
CUST1266,Kelly Miles,david18@jones-bowman.com,001-621-659-1438x8232,Senior,New
CUST1267,Jacob Obrien,dustin34@gmail.com,539-835-8446x17773,Youth,New
CUST1268,Timothy Clark,opetty@lynn-patton.com,(643)095-4497,Adult,New
CUST1269,Steve Miller PhD,brianna71@bailey.com,+1-127-997-0292x712,Senior,VIP
CUST1270,Justin Hurley,jacksonstacey@white-shaffer.net,5397871375,Youth,VIP
CUST1271,Jacob Erickson,qvargas@gmail.com,(988)322-0125,Adult,VIP
CUST1272,Deborah Williams,douglasbradley@brown-swanson.com,(083)200-4879x7888,Senior,Returning
CUST1273,Eric Blackburn,lmann@andersen-lindsey.net,001-753-585-2386,Senior,Returning
CUST1274,Anne Hardy,stephanie83@yahoo.com,0304436199,Senior,New
CUST1275,Chelsey Fox,richard51@miller.com,171-523-9102x92950,Senior,VIP
CUST1276,Mario White,paulangela@stokes-smith.biz,437-483-0930,Youth,Returning
CUST1277,Jennifer Garcia,rjimenez@barron.org,001-671-397-1912,Youth,VIP
CUST1278,Heather Ellis,kleinjacqueline@reed.net,(022)132-1767x2019,Adult,Returning
CUST1279,Sonya Jackson,roconnell@mckee.com,001-111-661-2201x90725,Senior,Returning
CUST1280,James Morgan,hendersonnicholas@yahoo.com,+1-873-393-0493x66538,Senior,New
CUST1281,Zachary Ramos,robin38@roberts.com,2748124211,Youth,Returning
CUST1282,Ethan Frey,aaronwelch@yahoo.com,086-825-0952x2946,Youth,New
CUST1283,Jacob Duran,sarah80@stafford-charles.com,(093)556-1039,Adult,VIP
CUST1284,Nicholas Franklin,gilbertmark@yahoo.com,+1-529-701-3712x436,Senior,Returning
CUST1285,Cindy Cannon,baileyjennifer@gomez-garcia.info,(858)564-2304x120,Youth,VIP
CUST1286,Dawn Nixon,ricerachel@martinez-freeman.com,(706)159-2738,Senior,VIP
CUST1287,James Barber,thomasbrooks@yahoo.com,402.990.7166x9063,Senior,New
CUST1288,Ms. Kelly Holder,amandaadams@yahoo.com,(248)155-4203,Youth,Returning
CUST1289,Eric Walker,donaldburgess@gmail.com,001-403-010-9567x975,Youth,New
CUST1290,Alison Short,danielmitchell@gmail.com,(491)579-5546x23471,Senior,Returning
CUST1291,Desiree Spencer,cmanning@gmail.com,(476)010-8018,Senior,New
CUST1292,Tammy Moore,rmoyer@fisher.info,030-683-1764,Adult,New
CUST1293,Henry Taylor,karen68@mclean.com,001-172-680-8081x57129,Youth,VIP
CUST1294,Kevin Hall,martinezmaurice@saunders.com,1507138067,Youth,New
CUST1295,Anna Ross,vbray@gmail.com,307-351-0458,Senior,VIP
CUST1296,Morgan Cummings,froberts@gmail.com,743-621-3009x625,Adult,Returning
CUST1297,Carrie Petersen,christinadaniel@gmail.com,+1-857-669-4703,Senior,New
CUST1298,Laura Velez,katie43@hoover.com,805-339-6274,Adult,Returning
CUST1299,Elizabeth Cross,victoriagarza@hernandez.com,(662)159-1832x70004,Youth,New
CUST1300,Angela Brown,ronaldjensen@lin.biz,(661)459-0110x7977,Senior,VIP
CUST1301,Hannah Montoya,jeffreysimmons@gmail.com,400-493-8819,Youth,New
CUST1302,Sean Kane,torresjoseph@yahoo.com,001-490-531-5204x99809,Senior,New
CUST1303,Matthew Guzman,dwright@gmail.com,976-987-3137x9716,Youth,New
CUST1304,Richard Reyes,williamsjulie@mitchell.org,(984)166-1237x4077,Youth,Returning
CUST1305,Andrew Fernandez,flopez@cook-rodriguez.com,001-433-256-2389,Senior,VIP
CUST1306,Jonathan Walker,michael59@jacobs.org,+1-499-197-0142x620,Adult,New
CUST1307,Nicholas Long,eatondavid@hotmail.com,708.782.1160,Youth,New
CUST1308,Kurt Wagner,willisrhonda@roth.com,(041)813-5998,Youth,New
CUST1309,Dylan Foster,kevin73@le.net,+1-897-211-7088x948,Youth,Returning
CUST1310,Bradley Duncan,patricia71@yahoo.com,1864482217,Youth,New
CUST1311,James Miller,gbarnes@jackson.com,(883)978-5708x200,Senior,New
CUST1312,Patricia Anderson,sosabruce@hotmail.com,806-757-1236x914,Senior,VIP
CUST1313,Justin Freeman,isimpson@mata.biz,+1-611-287-9429x688,Adult,Returning
CUST1314,Christina Gilbert,nlawson@gmail.com,(769)704-0953,Adult,Returning
CUST1315,Danielle Jones,ashleyvargas@suarez.info,001-141-961-5607x832,Youth,Returning
